occupation,occupation_label,workers,mean_income,mean_income_low,mean_income_upp,mean_hourly_income,mean_hours,sample_n,p10,p25,p50,p75,p90,hourly_p50,gini_within,top10_income_share,share_Homem,share_Mulher,share_brancaamarela,share_pretapardaindigena,share_outra,mean_Homem,mean_Mulher,gender_gap_women_vs_men,mean_median_ratio,p90_p50_ratio,p50_p10_ratio,ci_relative_width,wage_anatomy_type
7214,7214 - Montadores de estruturas metálicas,139039.55893084,2618.4159795606456,2461.8188723555613,2775.01308676573,14.448391721701233,41.95842538673123,276,1621,2000,2500,3000,4000,13.646861221918957,0.20412467526639144,0.19522552726547235,0.9753201711320384,0.02467982886796165,0.2615515292026272,0.7384484707973729,NA,2632.493049490581,2062.105385732913,-0.21667204928349004,1.0473663918242582,1.6,1.5422578655151142,0.11961209252271698,meio_heterogeneo
5141,5141 - Cabeleireiros,1139153.72010663,2597.13466603297,2471.0324424406344,2723.2368896253056,17.164979887373715,38.343004633477044,2295,600,1500,2000,3000,5000,12.702078521939955,0.40026456469085836,0.29677391584096646,0.45314415060509233,0.5468558493949075,0.370244569964193,0.6297554300358068,NA,2818.3744988947883,2413.8074944335235,-0.1435462195034456,1.298567333016485,2.5,3.3333333333333335,0.0971087292789112,meio_heterogeneo
8142,8142 - Operadores de máquinas para fabricar produtos de material plástico,157162.71738338,2567.3053601023466,2391.3501805826345,2743.260539622059,13.787702972127738,43.00884592766743,266,1621,1900,2300,3000,4000,12.334663027503673,0.20198519228820733,0.18537839701709177,0.689059321746063,0.31094067825393706,0.45528096313939637,0.5447190368606036,NA,2663.182887783679,2354.83620178645,-0.11578126587237014,1.116219721783629,1.7391304347826086,1.418877236273905,0.13707382242422275,meio_heterogeneo
5321,5321 - Trabalhadores de cuidados pessoais em instituições,85146.20159035,2546.6239095090364,2257.7866720234715,2835.461146994601,14.518936670882741,42.04369215770421,137,1600,1700,2300,3000,3500,13.646861221918957,0.23032726989406227,0.19606945674941587,0.24560468565599625,0.7543953143440038,0.3928281938186987,0.6071718061813013,NA,2593.2320714968855,2531.449924787268,-0.023824380158137926,1.1072277867430593,1.5217391304347827,1.4375,0.2268393353310264,meio_heterogeneo
8141,8141 - Operadores de máquinas para fabricar produtos de borracha,166542.48052755,2542.700877580001,2232.757212883811,2852.644542276191,12.929779899969272,45.19034594817462,330,800,1600,2000,3000,4000,10.497585555322276,0.3472725488892432,0.2832212338374309,0.9558645850162891,0.04413541498371083,0.2865724770890207,0.7134275229109793,NA,2573.922066299079,1866.5266848214014,-0.2748317016819425,1.2713504387900005,2,2.5,0.24379089764673914,renda_baixa_comprimida
7131,7131 - Pintores e empapeladores,649009.37591804,2538.835564682564,2422.1488618760545,2655.5222674890733,15.195287380922924,39.53579316702146,1381,800,1600,2000,3000,4100,12.12471131639723,0.3293167278108615,0.25550943486674493,0.9703335980844113,0.029666401915588753,0.37222398025015196,0.627776019749848,NA,2534.106579463935,2693.511998162329,0.06290399148567571,1.269417782341282,2.05,2.5,0.0919214339279976,meio_heterogeneo
5414,5414 - Guardas de segurança,1332754.77745464,2536.174608874184,2460.975053793921,2611.374163954447,14.246075915554714,43.022153496861534,2882,1621,1650,2200,3000,3800,12.072223388620616,0.23912273736577383,0.21983712076669895,0.8962453335927536,0.10375466640724633,0.319457225478016,0.6804694868773382,7.328764464573403e-5,2554.551850210863,2377.4297797244462,-0.06933586823528215,1.1528066403973563,1.7272727272727273,1.3571869216533003,0.059301559772057165,meio_heterogeneo
7421,7421 - Mecânicos e reparadores em eletrônica,74651.72821449,2532.5030105272826,2092.710004091028,2972.296016963537,14.8786380479192,38.06918947873986,158,700,1600,2000,3000,4000,11.547344110854505,0.37887494709193614,0.28534156809204525,0.9113344386610565,0.08866556133894347,0.4807381427953882,0.5192618572046119,NA,2570.395883605738,2143.0273257774966,-0.16626565602366716,1.2662515052636414,2,2.857142857142857,0.3473188419584045,renda_baixa_comprimida
6111,"6111 - Agricultores e trabalhadores qualificados em atividades da agricultura (exclusive hortas, viveiros e jardins)",2039652.8498376,2521.1774256742406,2287.4573622932876,2754.8974890551935,14.815284881796446,38.779488466211426,8183,300,640,1600,2500,5000,9.237875288683602,0.5731446341512938,0.45975161092822725,0.8363973223918477,0.1636026776081523,0.44307779869650654,0.5569222013034935,NA,2646.0776188277937,1882.6415004244998,-0.2885161466810994,1.5757358910464003,3.125,5.333333333333333,0.18540548634211973,teto_alto_base_distante
4225,4225 - Trabalhadores dos serviços de informações,114406.98780339,2511.746471092145,1820.1490068014593,3203.3439353828308,14.669325286890189,39.85262783709982,232,1000,1621,1800,2500,3800,10.392609699769054,0.3587497161364098,0.3180906654880602,0.40512455653549356,0.5948754434645064,0.4885555579002299,0.5114444420997701,NA,2465.9478025630683,2542.936471421794,0.03122072120857755,1.3954147061623028,2.111111111111111,1.8,0.5506905034009812,topo_instavel_amostra_pequena
7125,7125 - Vidraceiros,73852.60494283,2503.21765638883,2289.4314862102456,2717.0038265674148,14.581845306661654,41.69944477514689,161,1518,1621,2400,3000,4000,13.121981944152845,0.24327863444570252,0.20961295343153352,0.986301719122797,0.013698280877203055,0.3575401415229777,0.6424598584770224,NA,2515.62345573856,1609.9770128790099,-0.3600087448674476,1.0430073568286793,1.6666666666666667,1.5810276679841897,0.17080909415363818,meio_heterogeneo
8181,8181 - Operadores de instalações de vidraria e cerâmica,52740.65517402,2496.390883470727,2265.344514160996,2727.4372527804585,13.677714742411842,42.50593352915881,129,1618,1700,2400,3000,3700,12.990762124711317,0.21482377208243708,0.15239753594097472,0.9341202909883161,0.06587970901168393,0.4281105712629128,0.5718894287370871,NA,2499.7668937823187,2448.521823604601,-0.020499939536434253,1.040162868112803,1.5416666666666667,1.4833127317676142,0.18510432067313753,meio_heterogeneo
8212,8212 - Montadores de equipamentos elétricos e eletrônicos,88475.30417693,2442.3316297136494,2238.1700243519517,2646.493235075347,13.703946143454633,41.01863341780417,184,1621,1800,2200,3000,3500,12.028483448806774,0.23975255453100608,0.197442954712034,0.6663614964941026,0.3336385035058974,0.5293308297338599,0.4706691702661401,NA,2566.5199444550503,2194.295775372582,-0.14503069414545422,1.1101507407789315,1.5909090909090908,1.3571869216533003,0.1671858177471456,meio_heterogeneo
