occupation,occupation_label,workers,avg_income,avg_income_low,avg_income_upp,avg_hours,sample_n,median_income,rank
8332,8332 - Condutores de caminhões pesados,2017116.97154191,3626.1140110124015,3487.0322137853514,3765.1958082394517,45.073757590165016,4369,3000,113
7123,7123 - Gesseiros,142647.53203308,3624.3535454100097,2072.1143895225237,5176.592701297495,40.69050822758965,295,2300,114
2353,2353 - Outros professores de idiomas,105072.61850427,3603.607421001741,3041.919779418994,4165.295062584488,30.92122360592752,182,2500,115
7222,7222 - Ferramenteiros e afins,63507.63419397,3600.5245341783175,2678.880123167839,4522.168945188796,43.27400346214617,111,2900,116
5244,5244 - Vendedores por telefone,344455.88824679,3558.7740765619574,3037.5484535262194,4079.9996995976953,39.25588546666852,553,2200,117
3423,3423 - Instrutores de educação física e atividades recreativas,414594.63931254,3522.47039021249,3167.5999233165135,3877.340857108467,36.653464561033644,801,2500,118
2656,"2656 - Locutores de rádio, televisão e outros meios de comunicação",44004.269672329996,3519.8286952186036,2789.3919707942687,4250.2654196429385,36.2204902588612,100,2700,119
3512,3512 - Técnicos em assistência ao usuário de tecnologia da informação e das comunicações,95114.20280913,3495.8241380491445,2917.789476877735,4073.858799220554,40.635424865305694,124,3000,120
3212,3212 - Técnicos de laboratórios médicos,71879.9942423,3474.538442261546,2975.6716801651282,3973.405204357964,41.500346086064866,153,3000,121
2652,"2652 - Músicos, cantores e compositores",111339.72512545,3474.048738743769,2922.558573936776,4025.5389035507615,27.154942667276774,232,2750,122
3253,3253 - Trabalhadores comunitários da saúde,457814.86487582,3466.620342555314,3335.0343616770047,3598.2063234336233,39.841263881926636,1266,3200,123
2636,"2636 - Ministros de cultos religiosos, missionários e afins",88100.09415941,3439.058592277134,3062.237321395297,3815.8798631589707,42.02478841528465,227,3000,124
3214,3214 - Técnicos de próteses médicas e dentárias,51084.90874805,3430.611071021902,2842.9928667168733,4018.2292753269303,42.56542926350715,90,2500,125
7413,7413 - Instaladores e reparadores de linhas elétricas,74795.62658073001,3382.575761769553,2957.1196119817064,3808.0319115574,43.33615198377424,166,3000,126
2354,2354 - Outros professores de música,48301.87126599,3370.143890186935,2742.709718308217,3997.5780620656533,32.29166477407242,90,3000,127
