group,weight,mean_income,theil_within,group_variable
5411,42752.39710693,3217.321817881469,0.16581794968544378,occupation
8152,42543.86298396,2442.818416724039,0.15088033892938552,occupation
4211,42373.9952153,5525.602480359391,0.22310733245898368,occupation
2352,41202.39115736,3994.082049243482,0.11878370688174571,occupation
2266,41080.51093066,6841.0198144500655,0.1537773636801752,occupation
7313,40701.84433993,2376.102764600977,0.27249314437838007,occupation
8143,39909.51083605,2587.334566101362,0.09594659045785878,occupation
3142,39635.02667869,4858.700727656625,0.2154862539055979,occupation
3342,39417.94452466,6678.694689584342,0.35914870843707375,occupation
2133,38919.87209537,5869.1174547074625,0.21382594048972378,occupation
4313,38902.92715369,4920.518755910548,0.0957875163209581,occupation
2141,38716.82089345,10886.30940544814,0.24744679958681948,occupation
9311,38685.06807541,3854.4389773453727,0.46045745263671467,occupation
1411,38643.93361108,6652.157023467108,0.4069797428801014,occupation
2355,38272.98707753,2549.9483848418236,0.23168002085320735,occupation
9623,38004.35871396,2242.0799249338033,0.06453974963769026,occupation
2432,36950.28044165,6758.038414771648,0.2917594399309035,occupation
1431,36691.21460788,9161.674345563917,0.3283095548008611,occupation
7532,36399.061166729996,1977.1841360388682,0.11465604917719656,occupation
2145,36327.1149285,10588.487015445015,0.19572595038629637,occupation
5151,36325.53982056,3040.1266230544534,0.21739570389657292,occupation
9331,36292.67303028,1311.3408249519882,0.15489869302828607,occupation
7124,35608.307723390004,2750.70519542624,0.06627138964048633,occupation
3352,35536.64393448,9618.262566836951,0.3073683765571765,occupation
4415,35118.27932026,2995.46316569045,0.16098229746503387,occupation
2152,34346.39353627,13921.61392200995,0.21775057803784884,occupation
3132,33559.65224164,3808.645300908849,0.1330706891677334,occupation
5113,32767.60571261,2893.963591127785,0.1732437516569827,occupation
8113,32415.8364759,3697.234757628616,0.2395632745406363,occupation
7514,32239.887033760002,1135.237620886329,0.4413115550067929,occupation
0411,32134.16152657,13924.20700504261,0.14284833905356903,occupation
3359,31742.47118851,8016.125510027238,0.40193893875504855,occupation
2522,31303.50581499,5962.56924271553,0.1894250789240939,occupation
3259,31214.450855439998,2754.1478192377713,0.3369127935954546,occupation
1223,30671.05040883,14799.904982929209,0.20224962443585465,occupation
2631,29814.94853772,14604.605135054087,0.24979652596430837,occupation
3230,29753.42116013,2817.892818658938,0.27964323182159456,occupation
5152,29254.78437058,3109.706719204071,0.15065852302130286,occupation
2163,29152.83652305,6086.218719439824,0.30164650882216015,occupation
9510,28977.52067556,1329.6454717614197,0.33260940109145687,occupation
2113,28792.01896666,6166.291626247661,0.1865938624670198,occupation
2143,28394.71752713,10990.867459388237,0.39043948864529116,occupation
2412,28387.99477007,13161.33449314355,0.6764371920789805,occupation
2529,27733.24838225,12586.254697863495,0.19220672276945888,occupation
2622,26349.31495841,4942.631141704771,0.2776622487060583,occupation
1222,26316.31956143,12819.334163836153,0.25289598479288183,occupation
5163,26117.54554918,3428.4323765027993,0.17842347947504025,occupation
3256,25858.90714811,2035.4888781170994,0.22967119841771966,occupation
3514,25822.44891132,6331.471262725796,0.40802530170380874,occupation
7321,25772.64182859,2662.772278609814,0.30569373979913533,occupation
4223,25609.47580448,2185.8918351420075,0.08578204647572335,occupation
3111,25552.846551309998,5016.102534559968,0.437508987494541,occupation
6114,25324.93407018,1992.2734776731768,0.34263502179305705,occupation
4132,25077.84759656,2150.2812628148295,0.1350893764043488,occupation
8114,25069.00030422,2028.550996620857,0.06863595576145469,occupation
8171,24384.21497354,2956.947798173922,0.1354382515054809,occupation
7311,24340.89165485,2708.272790380587,0.23024609748850491,occupation
3421,24011.58779814,48443.386186263575,1.371212003305975,occupation
8311,22885.72041767,3900.2432634296183,0.07046511623386284,occupation
2651,22874.544303579998,3058.7022260694844,0.32340631261185265,occupation
2654,22692.4715992,6623.83068699518,0.23326162614321855,occupation
8189,21988.317317920002,3699.978917318745,0.4153730000300435,occupation
7232,21914.23148073,6232.472374061849,0.23442696061155446,occupation
3153,21459.28640891,14509.334330354139,0.30840303026157856,occupation
3240,21321.97047334,1718.9585511398063,0.10311590799424712,occupation
9129,21006.96607983,3323.077056531681,0.5026272352061348,occupation
3353,20351.58364827,10207.531522120884,0.07376338612253364,occupation
7323,19923.54455713,2614.8094103415574,0.10444462550341102,occupation
7224,19893.522849009998,2428.932387366236,0.06316978285928551,occupation
5111,19187.13271494,7221.213052083746,0.1314521126889263,occupation
6123,19091.2338002,2960.232749393827,0.6406794692130231,occupation
2519,18762.55271992,6818.724265800654,0.3300786753938742,occupation
8151,18757.14538747,2144.002063844873,0.03549080410375498,occupation
4227,18611.68930016,3807.527984756529,0.16851000177959155,occupation
7211,17975.37193502,2700.7755107870203,0.07619566791615015,occupation
8112,17512.29149605,2714.7148752165767,0.12039682251658207,occupation
2424,17394.60542083,5771.419986421458,0.171865985628148,occupation
3139,17328.57467437,2589.1704763356443,0.12820273493247772,occupation
3135,16878.91524473,3326.063532083049,0.0512283772576654,occupation
2655,16851.19352855,3980.1182690440687,0.1851324797279416,occupation
9216,16779.55162472,1223.30146720635,0.2555508288911037,occupation
1213,16664.95408738,13586.398207948161,0.23517343459989468,occupation
3152,16162.84511557,8612.079498532026,0.41515423401847207,occupation
7114,15935.816005730001,2488.595797977354,0.04132415789306928,occupation
7221,15888.21103734,2247.4927661088163,0.13799559074693188,occupation
8157,15457.88045876,2595.453503472568,0.09095599467669524,occupation
7535,15319.56411618,2169.129071450363,0.06277429276121976,occupation
0000,15248.26279685,5957.379048983517,0.6168044255678987,occupation
2356,15076.4783257,2816.134678902609,0.23906737636318617,occupation
6221,14748.59031842,2047.064526177247,0.2552316454446631,occupation
2523,14639.1986848,5793.653310071642,0.3408362891051678,occupation
5161,14472.74527514,4475.186635501811,0.32707073139998344,occupation
4419,14466.72786428,3111.10778376363,0.3002773799897371,occupation
2643,13946.6137663,5823.42431919885,0.2504834424604139,occupation
4411,13827.70163006,2850.465366527666,0.43451996837625073,occupation
3331,13672.94602915,3688.455742001688,0.26742480883697634,occupation
0511,13583.00636278,15632.638959337313,0.08540616637856462,occupation
3121,13470.47376774,8875.357118747806,0.2921267645698704,occupation
9622,12896.02914854,3295.081434673892,1.1775406759096712,occupation
2120,12792.86408514,7728.863754984696,0.09770700010833104,occupation
7516,12668.449482330001,1244.0662708774291,0.08227449807472394,occupation
3141,12324.31009228,1714.6212967074184,0.2815948858704228,occupation
2513,11828.44310118,5405.3275080727835,0.21560221238063465,occupation
2114,11490.70801236,12886.209366719302,0.16736502917793686,occupation
2164,11183.76489763,8136.086427615491,0.06369860336077944,occupation
3324,11138.03744302,4556.374696270527,0.3582460662027136,occupation
3131,11113.814996699999,5811.316097027734,0.3106271329925545,occupation
1114,10924.65897449,9846.364779791114,1.0504947935403335,occupation
9123,10647.02400315,3573.8231281338476,0.24623930302047548,occupation
3314,10369.85915806,4418.268467166737,0.37289958799036965,occupation
9332,10291.94541155,805.001083622003,0.21076325444508495,occupation
3258,10239.71577796,2283.826207695664,0.09470297114157886,occupation
1341,9907.40856698,6482.21400330691,0.1928699138711285,occupation
7549,9379.02569716,1988.914490014432,0.05884441746629138,occupation
6130,8929.51155162,3380.8568025187737,0.1635409061437298,occupation
8111,8836.57378651,3358.6781707721107,0.06761379628316487,occupation
1322,8640.84975461,15416.394304629983,0.4032414690416362,occupation
2153,8578.77048455,8403.199863995142,0.17877596467553172,occupation
3333,8421.74352735,4813.393453997174,0.09796028589960708,occupation
9213,8395.54561945,1994.8210665470638,0.09292025989718802,occupation
5169,7830.50867371,2539.2781431568196,0.27919680398521934,occupation
2422,7710.52606704,10212.645256065443,0.24076833428323086,occupation
3134,7624.21228185,7478.815336931472,0.43634463384472516,occupation
3222,7347.43008755,2323.48579017482,0.05051448418512458,occupation
2632,7319.00029123,9299.371709015531,0.3132590262201794,occupation
9613,7277.57691633,1734.1979633945905,0.0029947589528051127,occupation
7315,7030.62348214,1779.4640801087169,0.16116253830501864,occupation
7133,6830.27141302,3990.245691565252,0.33824604220784055,occupation
3254,6316.5357642300005,3789.8838897538308,0.16453468226022183,occupation
7312,6063.48433661,4737.577719258097,0.481681391547777,occupation
2146,6034.75959433,9698.57614503925,0.4191025125169068,occupation
3433,5744.19741179,1485.485001886692,0.09075916176483864,occupation
1343,5713.04337587,4968.7162803629535,0.013962568711676284,occupation
2165,5217.54726615,8384.938897781181,0.09780742332291126,occupation
2621,5073.63635244,7808.991418376104,0.26593869245001095,occupation
3315,5046.616079,7220.761980734396,0.44724403409707014,occupation
8159,4926.40898523,2212.85719903591,0.021564012423612323,occupation
7316,4793.41284579,2034.7596216903014,0.17512294324442718,occupation
3143,4721.75548919,4691.983597578346,0.08917889959566144,occupation
7521,4535.29486264,2281.110760116701,0.006578409006751842,occupation
3133,4500.30185257,3790.813106024568,0.2551374837043816,occupation
2162,4315.78607101,6649.612274857009,0.16631057577545816,occupation
2434,4303.33565317,7621.527862646253,0.24686294016316213,occupation
2653,4285.02197148,2629.992600238666,0.3194594827113654,occupation
5162,4028.77930237,1282.2616330147546,0.18276133331829714,occupation
3354,3313.3661372,2662.679123469627,0.12396962914451873,occupation
3155,3293.06201857,4757.181132485658,0.13065869325333304,occupation
3151,3163.96341113,11207.582360757431,0.1608774312424793,occupation
3413,3162.62214468,1848.4977209907886,0.2003630898122927,occupation
5168,3108.04048085,2563.7476492384085,0.2258748301707296,occupation
8312,3096.55115642,2590.8453458554277,0.028100571635794016,occupation
8132,2930.20676992,9008.589171960335,0.8357498361587876,occupation
2263,2799.41141892,3716.0809002784476,0.03665432514505372,occupation
3154,2606.2861979500003,3414.4423701766164,0.20965246216159572,occupation
8155,2250.80384327,2688.3816204828904,0.05685751168429836,occupation
7542,2241.45712551,2091.401648056001,0.053805305538807906,occupation
